"","Y","M","D","HERD","FORG","TDNF","Date"
"146",2017,7,24,1,"CSPG",0.73,2017-07-24
"147",2017,7,25,1,"WSPG",0.75,2017-07-25
"148",2017,7,25,1,"CSPG",0.73,2017-07-25
"149",2017,7,26,1,"WSPG",0.75,2017-07-26
"150",2017,7,26,1,"CSPG",0.73,2017-07-26
"151",2017,7,27,1,"WSPG",0.75,2017-07-27
"152",2017,7,27,1,"CSPG",0.73,2017-07-27
"153",2017,7,28,1,"WSPG",0.75,2017-07-28
"154",2017,7,28,1,"CSPG",0.73,2017-07-28
"155",2017,7,29,1,"WSPG",0.75,2017-07-29
"156",2017,7,29,1,"CSPG",0.7278,2017-07-29
"157",2017,7,30,1,"WSPG",0.75,2017-07-30
"158",2017,7,30,1,"CSPG",0.7258,2017-07-30
"159",2017,7,31,1,"WSPG",0.75,2017-07-31
"160",2017,7,31,1,"CSPG",0.7246,2017-07-31
"161",2017,8,1,1,"WSPG",0.75,2017-08-01
"162",2017,8,1,1,"CSPG",0.73,2017-08-01
"163",2017,8,2,1,"WSPG",0.75,2017-08-02
"164",2017,8,2,1,"CSPG",0.73,2017-08-02
"165",2017,8,3,1,"WSPG",0.75,2017-08-03
"166",2017,8,3,1,"CSPG",0.73,2017-08-03
"167",2017,8,4,1,"WSPG",0.75,2017-08-04
"168",2017,8,4,1,"CSPG",0.73,2017-08-04
"169",2017,8,5,1,"WSPG",0.75,2017-08-05
"170",2017,8,5,1,"CSPG",0.7293,2017-08-05
"171",2017,8,6,1,"WSPG",0.75,2017-08-06
"172",2017,8,6,1,"CSPG",0.7273,2017-08-06
"173",2017,8,7,1,"WSPG",0.75,2017-08-07
"174",2017,8,7,1,"CSPG",0.7255,2017-08-07
"175",2017,8,8,1,"WSPG",0.75,2017-08-08
"176",2017,8,8,1,"CSPG",0.73,2017-08-08
"177",2017,8,9,1,"WSPG",0.75,2017-08-09
"178",2017,8,9,1,"CSPG",0.73,2017-08-09
"179",2017,8,10,1,"WSPG",0.75,2017-08-10
"180",2017,8,10,1,"CSPG",0.73,2017-08-10
"181",2017,8,11,1,"WSPG",0.75,2017-08-11
"182",2017,8,11,1,"CSPG",0.73,2017-08-11
"183",2017,8,12,1,"WSPG",0.75,2017-08-12
"184",2017,8,12,1,"CSPG",0.73,2017-08-12
"185",2017,8,13,1,"WSPG",0.75,2017-08-13
"186",2017,8,13,1,"CSPG",0.73,2017-08-13
"187",2017,8,14,1,"WSPG",0.75,2017-08-14
"188",2017,8,14,1,"CSPG",0.7282,2017-08-14
"189",2017,8,15,1,"WSPG",0.75,2017-08-15
"190",2017,8,15,1,"CSPG",0.7263,2017-08-15
"191",2017,8,16,1,"WSPG",0.75,2017-08-16
"192",2017,8,16,1,"CSPG",0.7251,2017-08-16
"193",2017,8,17,1,"WSPG",0.75,2017-08-17
"194",2017,8,17,1,"CSPG",0.73,2017-08-17
"195",2017,8,18,1,"WSPG",0.75,2017-08-18
"196",2017,8,18,1,"CSPG",0.73,2017-08-18
"197",2017,8,19,1,"WSPG",0.7487,2017-08-19
"198",2017,8,19,1,"CSPG",0.73,2017-08-19
"199",2017,8,20,1,"WSPG",0.75,2017-08-20
"200",2017,8,20,1,"CSPG",0.73,2017-08-20
"201",2017,8,21,1,"WSPG",0.75,2017-08-21
"202",2017,8,21,1,"CSPG",0.73,2017-08-21
"203",2017,8,22,1,"WSPG",0.75,2017-08-22
"204",2017,8,22,1,"CSPG",0.73,2017-08-22
"205",2017,8,23,1,"WSPG",0.7488,2017-08-23
"206",2017,8,23,1,"CSPG",0.73,2017-08-23
"207",2017,8,24,1,"WSPG",0.75,2017-08-24
"208",2017,8,24,1,"CSPG",0.7282,2017-08-24
"209",2017,8,25,1,"WSPG",0.75,2017-08-25
"210",2017,8,25,1,"CSPG",0.7265,2017-08-25
"211",2017,8,26,1,"WSPG",0.75,2017-08-26
"212",2017,8,26,1,"CSPG",0.7246,2017-08-26
"213",2017,8,27,1,"WSPG",0.7485,2017-08-27
"214",2017,8,27,1,"CSPG",0.7226,2017-08-27
"215",2017,8,28,1,"WSPG",0.75,2017-08-28
"216",2017,8,28,1,"CSPG",0.721,2017-08-28
"217",2017,8,29,1,"WSPG",0.75,2017-08-29
"218",2017,8,29,1,"CSPG",0.7198,2017-08-29
"219",2017,8,30,1,"WSPG",0.7495,2017-08-30
"220",2017,8,30,1,"CSPG",0.73,2017-08-30
"221",2017,8,31,1,"WSPG",0.7477,2017-08-31
"222",2017,8,31,1,"CSPG",0.73,2017-08-31
"223",2017,9,1,1,"WSPG",0.75,2017-09-01
"224",2017,9,1,1,"CSPG",0.73,2017-09-01
"225",2017,9,2,1,"WSPG",0.75,2017-09-02
"226",2017,9,2,1,"CSPG",0.73,2017-09-02
"227",2017,9,3,1,"WSPG",0.75,2017-09-03
"228",2017,9,3,1,"CSPG",0.73,2017-09-03
"229",2017,9,4,1,"WSPG",0.7483,2017-09-04
"230",2017,9,4,1,"CSPG",0.73,2017-09-04
"231",2017,9,5,1,"WSPG",0.7468,2017-09-05
"232",2017,9,5,1,"CSPG",0.73,2017-09-05
"233",2017,9,6,1,"WSPG",0.75,2017-09-06
"234",2017,9,6,1,"CSPG",0.73,2017-09-06
"235",2017,9,7,1,"WSPG",0.75,2017-09-07
"236",2017,9,7,1,"CSPG",0.73,2017-09-07
"237",2017,9,8,1,"WSPG",0.75,2017-09-08
"238",2017,9,8,1,"CSPG",0.73,2017-09-08
"239",2017,9,9,1,"WSPG",0.75,2017-09-09
"240",2017,9,9,1,"CSPG",0.73,2017-09-09
"241",2017,9,10,1,"WSPG",0.7483,2017-09-10
"242",2017,9,10,1,"CSPG",0.73,2017-09-10
"243",2017,9,11,1,"WSPG",0.7462,2017-09-11
"244",2017,9,11,1,"CSPG",0.73,2017-09-11
"245",2017,9,12,1,"WSPG",0.7443,2017-09-12
"246",2017,9,12,1,"CSPG",0.73,2017-09-12
"247",2017,9,13,1,"WSPG",0.75,2017-09-13
"248",2017,9,13,1,"CSPG",0.73,2017-09-13
"249",2017,9,14,1,"WSPG",0.75,2017-09-14
"250",2017,9,14,1,"CSPG",0.73,2017-09-14
"251",2017,9,15,1,"WSPG",0.75,2017-09-15
"252",2017,9,15,1,"CSPG",0.73,2017-09-15
"253",2017,9,16,1,"WSPG",0.75,2017-09-16
"254",2017,9,16,1,"CSPG",0.73,2017-09-16
"255",2017,9,17,1,"WSPG",0.7497,2017-09-17
"256",2017,9,17,1,"CSPG",0.73,2017-09-17
"257",2017,9,18,1,"WSPG",0.7487,2017-09-18
"258",2017,9,18,1,"CSPG",0.73,2017-09-18
"259",2017,9,19,1,"WSPG",0.7478,2017-09-19
"260",2017,9,19,1,"CSPG",0.73,2017-09-19
"261",2017,9,20,1,"WSPG",0.75,2017-09-20
"262",2017,9,20,1,"CSPG",0.73,2017-09-20
"263",2017,9,21,1,"WSPG",0.75,2017-09-21
"264",2017,9,21,1,"CSPG",0.73,2017-09-21
"265",2017,9,22,1,"WSPG",0.75,2017-09-22
"266",2017,9,22,1,"CSPG",0.73,2017-09-22
"267",2017,9,23,1,"WSPG",0.7499,2017-09-23
"268",2017,9,23,1,"CSPG",0.7299,2017-09-23
"269",2017,9,24,1,"WSPG",0.7499,2017-09-24
"270",2017,9,24,1,"CSPG",0.7293,2017-09-24
"271",2017,9,25,1,"WSPG",0.7499,2017-09-25
"272",2017,9,25,1,"CSPG",0.7289,2017-09-25
"273",2017,9,26,1,"WSPG",0.7499,2017-09-26
"274",2017,9,26,1,"CSPG",0.7293,2017-09-26
"275",2017,9,27,1,"WSPG",0.7497,2017-09-27
"276",2017,9,27,1,"CSPG",0.7289,2017-09-27
"277",2017,9,28,1,"WSPG",0.7494,2017-09-28
"278",2017,9,28,1,"CSPG",0.7278,2017-09-28
"279",2017,9,29,1,"WSPG",0.75,2017-09-29
"280",2017,9,29,1,"CSPG",0.7268,2017-09-29
"281",2017,9,30,1,"WSPG",0.75,2017-09-30
"282",2017,9,30,1,"CSPG",0.726,2017-09-30
"283",2017,10,1,1,"WSPG",0.75,2017-10-01
"284",2017,10,1,1,"CSPG",0.7254,2017-10-01
