"","Y","Treatment","Pasture","CPNM","Sim.Type","observed","uncertainty","simulated"
"161",2015,"CARM","10S","CSAG","No Variability",87.96,82.68,12.41
"162",2015,"CARM","10S","CSAG","Spatial Variability",87.96,82.68,10.25
"163",2015,"CARM","10S","CSPG","No Variability",240.88,77.28,304.94
"164",2015,"CARM","10S","CSPG","Spatial Variability",240.88,77.28,288.7
"165",2015,"CARM","10S","FORB","No Variability",444.11,109.75,189.07
"166",2015,"CARM","10S","FORB","Spatial Variability",444.11,109.75,197.95
"167",2015,"CARM","10S","WSPG","No Variability",840.53,37.42,475.5
"168",2015,"CARM","10S","WSPG","Spatial Variability",840.53,37.42,460.22
"169",2015,"CARM","17S","CSAG","Spatial Variability",31.08,94.07,34.73
"170",2015,"CARM","17S","CSAG","No Variability",31.08,94.07,27.13
"171",2015,"CARM","17S","CSPG","No Variability",718.36,98.67,391.79
"172",2015,"CARM","17S","CSPG","Spatial Variability",718.36,98.67,465.72
"173",2015,"CARM","17S","FORB","No Variability",51.51,23.65,58.59
"174",2015,"CARM","17S","FORB","Spatial Variability",51.51,23.65,62.02
"175",2015,"CARM","17S","WSPG","Spatial Variability",603.92,55.68,103.76
"176",2015,"CARM","17S","WSPG","No Variability",603.92,55.68,75.09
"177",2015,"CARM","18S","CSAG","No Variability",12.48,200,0.39
"178",2015,"CARM","18S","CSAG","Spatial Variability",12.48,200,0.24
"179",2015,"CARM","18S","CSPG","Spatial Variability",629.45,21.23,914.82
"180",2015,"CARM","18S","CSPG","No Variability",629.45,21.23,898.29
"181",2015,"CARM","18S","FORB","No Variability",349.93,92.58,123.91
"182",2015,"CARM","18S","FORB","Spatial Variability",349.93,92.58,220.75
"183",2015,"CARM","18S","WSPG","No Variability",429.11,41.77,234.14
"184",2015,"CARM","18S","WSPG","Spatial Variability",429.11,41.77,267.99
"185",2015,"CARM","20NW","CSAG","Spatial Variability",34.35,155.68,5.45
"186",2015,"CARM","20NW","CSAG","No Variability",34.35,155.68,2.99
"187",2015,"CARM","20NW","CSPG","No Variability",731.27,57.59,1411.29
"188",2015,"CARM","20NW","CSPG","Spatial Variability",731.27,57.59,941.93
"189",2015,"CARM","20NW","FORB","No Variability",151.1,91.94,219.68
"190",2015,"CARM","20NW","FORB","Spatial Variability",151.1,91.94,276.7
"191",2015,"CARM","20NW","WSPG","Spatial Variability",669.34,46.03,304.96
"192",2015,"CARM","20NW","WSPG","No Variability",669.34,46.03,425.45
"193",2015,"CARM","21N","CSAG","Spatial Variability",1.85,103.77,4.78
"194",2015,"CARM","21N","CSAG","No Variability",1.85,103.77,0.33
"195",2015,"CARM","21N","CSPG","No Variability",153.01,75.48,689.56
"196",2015,"CARM","21N","CSPG","Spatial Variability",153.01,75.48,303.51
"197",2015,"CARM","21N","FORB","No Variability",292.88,91.88,387.96
"198",2015,"CARM","21N","FORB","Spatial Variability",292.88,91.88,295.38
"199",2015,"CARM","21N","WSPG","No Variability",695.65,24.53,644.91
"200",2015,"CARM","21N","WSPG","Spatial Variability",695.65,24.53,473.37
"201",2015,"CARM","25NW","CSAG","No Variability",99.97,91.57,17.68
"202",2015,"CARM","25NW","CSAG","Spatial Variability",99.97,91.57,6.7
"203",2015,"CARM","25NW","CSPG","No Variability",474.35,97.87,482.41
"204",2015,"CARM","25NW","CSPG","Spatial Variability",474.35,97.87,201.87
"205",2015,"CARM","25NW","FORB","Spatial Variability",164.28,64.32,148.61
"206",2015,"CARM","25NW","FORB","No Variability",164.28,64.32,224.31
"207",2015,"CARM","25NW","WSPG","No Variability",867.37,15.37,532.57
"208",2015,"CARM","25NW","WSPG","Spatial Variability",867.37,15.37,348.46
"209",2015,"CARM","26W","CSAG","Spatial Variability",52.34,64.06,28.37
"210",2015,"CARM","26W","CSAG","No Variability",52.34,64.06,60.98
"211",2015,"CARM","26W","CSPG","No Variability",151.37,37.68,319.63
"212",2015,"CARM","26W","CSPG","Spatial Variability",151.37,37.68,246.06
"213",2015,"CARM","26W","FORB","No Variability",1139.73,17.02,414.53
"214",2015,"CARM","26W","FORB","Spatial Variability",1139.73,17.02,390.46
"215",2015,"CARM","26W","WSPG","No Variability",264.39,33.43,488.99
"216",2015,"CARM","26W","WSPG","Spatial Variability",264.39,33.43,368.07
"217",2015,"CARM","31W","CSAG","No Variability",54.69,79.66,11.73
"218",2015,"CARM","31W","CSAG","Spatial Variability",54.69,79.66,15.79
"219",2015,"CARM","31W","CSPG","No Variability",601.57,103.54,212.94
"220",2015,"CARM","31W","CSPG","Spatial Variability",601.57,103.54,387.88
"221",2015,"CARM","31W","FORB","Spatial Variability",169.53,54.67,256.19
"222",2015,"CARM","31W","FORB","No Variability",169.53,54.67,146.77
"223",2015,"CARM","31W","WSPG","No Variability",1010.43,51.21,342.12
"224",2015,"CARM","31W","WSPG","Spatial Variability",1010.43,51.21,451.16
"225",2015,"CARM","7SE","CSAG","Spatial Variability",47.65,81.86,8.99
"226",2015,"CARM","7SE","CSAG","No Variability",47.65,81.86,8.59
"227",2015,"CARM","7SE","CSPG","Spatial Variability",569.18,65.4,529.7
"228",2015,"CARM","7SE","CSPG","No Variability",569.18,65.4,484.48
"229",2015,"CARM","7SE","FORB","No Variability",74.65,125.67,79.22
"230",2015,"CARM","7SE","FORB","Spatial Variability",74.65,125.67,254.27
"231",2015,"CARM","7SE","WSPG","No Variability",611.68,29.15,386.23
"232",2015,"CARM","7SE","WSPG","Spatial Variability",611.68,29.15,380.38
"233",2015,"CARM","8E","CSAG","Spatial Variability",9.75,184.62,4.63
"234",2015,"CARM","8E","CSAG","No Variability",9.75,184.62,0.33
"235",2015,"CARM","8E","CSPG","No Variability",342.96,52.26,302.38
"236",2015,"CARM","8E","CSPG","Spatial Variability",342.96,52.26,271.76
"237",2015,"CARM","8E","FORB","Spatial Variability",102.83,76.02,121.33
"238",2015,"CARM","8E","FORB","No Variability",102.83,76.02,105.98
"239",2015,"CARM","8E","WSPG","No Variability",611.72,47.72,479.66
"240",2015,"CARM","8E","WSPG","Spatial Variability",611.72,47.72,391.13
"241",2015,"TRM","15E","CSAG","No Variability",92.06,45.4,4.05
"242",2015,"TRM","15E","CSAG","Spatial Variability",92.06,45.4,4.02
"243",2015,"TRM","15E","CSPG","Spatial Variability",74.88,41.39,253.11
"244",2015,"TRM","15E","CSPG","No Variability",74.88,41.39,107.64
"245",2015,"TRM","15E","FORB","Spatial Variability",91.16,44.1,222.01
"246",2015,"TRM","15E","FORB","No Variability",91.16,44.1,203.12
"247",2015,"TRM","15E","WSPG","No Variability",705.98,17.12,434.65
"248",2015,"TRM","15E","WSPG","Spatial Variability",705.98,17.12,464.55
"249",2015,"TRM","17N","CSAG","Spatial Variability",39.87,111.39,10.67
"250",2015,"TRM","17N","CSAG","No Variability",39.87,111.39,8.41
"251",2015,"TRM","17N","CSPG","No Variability",1107.36,71.44,537.98
"252",2015,"TRM","17N","CSPG","Spatial Variability",1107.36,71.44,756.49
"253",2015,"TRM","17N","FORB","No Variability",101.29,50.18,91.85
"254",2015,"TRM","17N","FORB","Spatial Variability",101.29,50.18,136.17
"255",2015,"TRM","17N","WSPG","Spatial Variability",782.6,38.31,385.67
"256",2015,"TRM","17N","WSPG","No Variability",782.6,38.31,360.66
"257",2015,"TRM","19N","CSAG","No Variability",43.69,71.88,0.4
"258",2015,"TRM","19N","CSAG","Spatial Variability",43.69,71.88,0.27
"259",2015,"TRM","19N","CSPG","No Variability",887.32,56.62,1101.14
"260",2015,"TRM","19N","CSPG","Spatial Variability",887.32,56.62,791.72
"261",2015,"TRM","19N","FORB","Spatial Variability",38.52,71.43,208.27
"262",2015,"TRM","19N","FORB","No Variability",38.52,71.43,156.65
"263",2015,"TRM","19N","WSPG","No Variability",584.82,50.76,297.81
"264",2015,"TRM","19N","WSPG","Spatial Variability",584.82,50.76,273.61
"265",2015,"TRM","20SE","CSAG","Spatial Variability",19.62,201.08,10.33
"266",2015,"TRM","20SE","CSAG","No Variability",19.62,201.08,6.78
"267",2015,"TRM","20SE","CSPG","Spatial Variability",768.59,57.97,1048.77
"268",2015,"TRM","20SE","CSPG","No Variability",768.59,57.97,1787.3
"269",2015,"TRM","20SE","FORB","No Variability",84.46,80.72,33.81
"270",2015,"TRM","20SE","FORB","Spatial Variability",84.46,80.72,94.22
"271",2015,"TRM","20SE","WSPG","Spatial Variability",825.95,80.09,291.89
"272",2015,"TRM","20SE","WSPG","No Variability",825.95,80.09,409.74
"273",2015,"TRM","24W","CSAG","Spatial Variability",53.21,56.74,6.69
"274",2015,"TRM","24W","CSAG","No Variability",53.21,56.74,0.36
"275",2015,"TRM","24W","CSPG","Spatial Variability",231.19,77.68,202.24
"276",2015,"TRM","24W","CSPG","No Variability",231.19,77.68,197.45
"277",2015,"TRM","24W","FORB","No Variability",64.35,72.78,148.6
"278",2015,"TRM","24W","FORB","Spatial Variability",64.35,72.78,244.97
"279",2015,"TRM","24W","WSPG","No Variability",880.19,11.49,599.75
"280",2015,"TRM","24W","WSPG","Spatial Variability",880.19,11.49,453.18
"281",2015,"TRM","25SE","CSAG","Spatial Variability",62.46,110.14,10.93
"282",2015,"TRM","25SE","CSAG","No Variability",62.46,110.14,24.78
"283",2015,"TRM","25SE","CSPG","Spatial Variability",107.27,63.42,204.8
"284",2015,"TRM","25SE","CSPG","No Variability",107.27,63.42,114.53
"285",2015,"TRM","25SE","FORB","Spatial Variability",220.16,79.7,196.41
"286",2015,"TRM","25SE","FORB","No Variability",220.16,79.7,71.16
"287",2015,"TRM","25SE","WSPG","No Variability",684.02,36.98,558.65
"288",2015,"TRM","25SE","WSPG","Spatial Variability",684.02,36.98,515.17
"289",2015,"TRM","26E","CSAG","Spatial Variability",54.69,85.42,18.5
"290",2015,"TRM","26E","CSAG","No Variability",54.69,85.42,9.86
"291",2015,"TRM","26E","CSPG","No Variability",136.1,40.35,190.22
